feature_area,forgeview_current_status,relevant_repositories,gap_severity,recommended_action
Wallet/trader ingestion,"Seed wallet list and schema exist; no normalized public profile or position records yet.","polybot; Polymarket-bot; Awesome-Prediction-Market-Tools",critical,"Build Wallet Intelligence Data Ingestion v1 using read-only public profile and position data with explicit missing fields."
Wallet behavior scoring,"Copyability score is defined conceptually but not computed.","polybot; Polymarket-bot; Prediction-Markets-Trading-Bot-Toolkits",high,"Add transparent wallet behavior metrics before any score: market family, side mix, hold time, paired-leg behavior, size distribution, realized/unrealized split."
Replication/copy-delay risk,"No copy-delay measurement exists.","polybot; Polymarket-bot; prediction-market-backtesting",high,"Measure observation delay from public profile/trade events to hypothetical signal availability; treat copy trading as research-only."
Execution-realistic backtesting,"ForgeView has deterministic replay and paper repricing simulator, but not L2 queue-position or passive-book fill modeling.","prediction-market-backtesting; polymarket_lp_tool; polybot",high,"Design a research-only execution realism audit for repricing signals: visible depth, queue proxy, latency, slippage, and timeout sensitivity."
Binance-Polymarket lag strategy comparison,"ForgeView already captures external crypto movement and Polymarket repricing lag.","pmxt; CloddsBot; Prediction-Markets-Trading-Bot-Toolkits; prediction-market-backtesting",medium,"Compare ForgeView's reference-feed and lag-feature semantics against PMXT/Binance feed normalization and BTC sandbox conventions."
Market-making/liquidity rewards,"ForgeView is not an LP or market-making project.","polymarket_lp_tool; Prediction-Markets-Trading-Bot-Toolkits; prediction-market-backtesting",medium,"Keep as backlog. Reuse only passive-order risk concepts: depth guard, max chase, midpoint jump pause, cooldown, and reward-band observability."
Dry-run/paper execution controls,"ForgeView has shadow/paper simulation but no generic execution boundary framework.","Prediction-Markets-Trading-Bot-Toolkits; CloddsBot; Polymarket-bot",medium,"Document dry-run invariants for any future execution-like simulation: no keys, no orders, no signer, immutable audit log."
Unified Polymarket API abstraction,"ForgeView has custom Gamma/CLOB capture clients.","pmxt; polybot; Polymarket-bot",medium,"Evaluate read-only adapter ideas from PMXT and polybot before adding any new client dependency."
Research artifact dashboards,"ForgeView reports are mostly files; no dedicated wallet/repricing dashboard.","Polymarket-bot; polymarket_lp_tool; prediction-market-backtesting",low,"Defer dashboards until normalized wallet and repricing evidence artifacts stabilize."
Production/live execution,"Explicitly prohibited in ForgeView current scope.","CloddsBot; Prediction-Markets-Trading-Bot-Toolkits; Polymarket-bot; polymarket_lp_tool; pmxt",not_applicable,"Do not implement. Treat execution-heavy repos as risk references only."
