component,current_evidence,status,required_work,effort_engineer_days,launch_blocker
Public market discovery,"v5 rotates BTC/ETH/SOL five-minute markets and records lifecycle events",READY,"Reuse unchanged",0.0,false
External reference feed,"v5 captures public BTC/ETH/SOL reference prices asynchronously",READY,"Reuse unchanged",0.0,false
Frozen lag measurement,"LagDetector emits deterministic measurements and Batch 001/002 replay matches",READY,"Reuse frozen 6 bps / 0.65 / 0.45 configuration unchanged",0.0,false
Raw event capture and cadence,"JSONL evidence, checkpoints, continuity metrics, discovery failures, and replay exist",READY,"Reuse append-only evidence and add service heartbeat linkage",0.0,false
Online frozen signal admission,"Offline repricing accepts qualified_external_move_not_repriced and confidence_below_threshold; v5 live opportunities accept only measurement.qualified",MAJOR WORK,"Add a separate causal admission consumer with frozen reasons, 60-second expiry floor, and overlap rule",1.0,true
Repricing paper trade creation,"Current v3 shadow opens a score-based $100 position with different slippage semantics",MAJOR WORK,"Create repricing-specific paper positions from admitted frozen signals without changing LagDetector",0.75,true
Target stop and timeout close detection,"Repricing target/stop/180-second timeout is evaluated only after complete sessions",MAJOR WORK,"Evaluate open positions causally on every quote and persist the first terminal transition",1.0,true
Paper PnL recording,"Offline labels contain before/after-slippage PnL; live v5 records incompatible generic shadow PnL",MINOR WORK,"Persist entry, exit, 0.02 conservative slippage, realized PnL, and equity events",0.5,true
Daily statistics,"No repricing-specific UTC daily rollup exists",MINOR WORK,"Aggregate signals, exits, win rate, expectancy, PnL, drawdown, asset/side balance, uptime, and gaps",0.5,true
Persistent state,"v5 keeps opportunities and positions in memory; JSONL is evidence but not a transactional state store",MAJOR WORK,"Use SQLite transactions for signals, positions, trades, cursors, and daily summaries",1.0,true
Restart recovery,"Direct capture cannot restore open repricing positions or replay events after a crash",MAJOR WORK,"Replay captured events after the committed cursor, restore open positions, and resolve overdue positions explicitly",1.0,true
Duplicate protection,"OpportunityGate protects one market in memory; offline open_until suppresses overlap but neither survives restart",MINOR WORK,"Add unique signal keys and transactional non-overlap constraints persisted across restarts",0.5,true
Telemetry and health,"Capture checkpoints, stderr discovery failures, continuity metrics, and console output exist",MINOR WORK,"Add heartbeat, feed age, open-position count, last successful write, exception counters, and health status",0.5,true
Telegram notifications,"No Polymarket Telegram notifier exists; Content Machine Telegram paths are isolated and unsuitable",MINOR WORK,"Add optional outbound-only notifier for open, close, daily summary, stale feed, crash, and recovery using environment secrets",0.5,true
Process supervision,"CLI runs one fixed-duration session and has no watchdog, service wrapper, or automatic restart",MAJOR WORK,"Add single-instance lock and Windows Task Scheduler/service launcher with bounded restart backoff",0.75,true
Frozen configuration guard,"Session start records thresholds but no paper-engine specification fingerprint is enforced",MINOR WORK,"Persist and verify a frozen strategy hash before startup and recovery",0.25,true
Session rotation and retention,"Timestamped sessions and latest copies exist but continuous UTC rotation and retention do not",MINOR WORK,"Rotate raw sessions and daily reports without closing valid positions; define retention and disk alarms",0.5,false
Failure and soak validation,"Capture cadence has tests, but repricing paper restart, crash, duplicate, notification, and multi-day tests do not exist",MAJOR WORK,"Add deterministic crash/restart fixtures, fault injection, and a 24-hour public paper soak",1.0,true
