priority,layer,engineering_effort,research_value,implementation_risk,data_reliability,expected_impact,score,observed_support,primary_uncertainty_reduced,hidden_assumptions
1,Market expiry,medium,very_high,low,high,Very high impact on Lifecycle Metrics Wallet Score Watchlist Copyability and Confidence; enables time-to-expiry entry context held-through-expiry candidates and all-or-mostly-open review,92,"Previous sprint had 2135 lifecycle candidates with 1735 still-open and identified expiry joins as a largest blocker","Expiry timing; whether visible trades occur near expiry; whether still-open means unresolved or only bounded-window incomplete","Public market metadata must map reliably from slug condition ID or token ID"
2,Resolved market outcome,medium,very_high,medium,high,Very high impact on Lifecycle Metrics Copyability Ranking and Confidence; identifies whether visible side eventually resolved in or out without computing wallet profitability,88,"Previous sprint identified realized outcome joins as a largest blocker and Wallet Score currently excludes final resolved win/loss outcomes","Resolved side; final outcome context; false positives where structure is strong but selected side resolved against it","Resolved public market data must be unambiguous and must not be interpreted as profitability"
3,Full historical wallet activity,high,very_high,medium,medium,High impact on Lifecycle Metrics Watchlist Copyability Ranking and Confidence; reduces bounded-history artifacts SELL-only rows missing prior buys and later exits,82,"Previous sprint used max 200 primary rows per wallet and still found 24 oversold bounded-history groups plus many still-open groups","Complete entry-exit continuity; bounded-window artifacts; missing prior buys and later exits","Public endpoints expose enough pagination depth and old rows remain available reproducibly"
4,Additional public endpoints,medium,high,medium,medium,High impact across Lifecycle Metrics Watchlist and Confidence if positions closed-positions traded value activity and trades endpoints can be reconciled,76,"Deep History Feasibility and ingestion design already identified positions closed-positions trades activity prices-history and metadata joins as useful cross-checks","Endpoint completeness; cross-check disagreements; missing fields from one endpoint","Endpoint schemas remain stable and do not silently filter rows"
5,Reference asset alignment BTC ETH SOL,medium,high,medium,high,High impact on Copyability and Repricing linkage; measures whether wallet entries occur after external asset moves,72,"Previous sprint normalized 4897 fast-crypto rows with 4073 BTC 778 ETH and 282 SOL rows; external alignment remained unknown","Binance-lag or external-momentum timing; whether fast crypto wallet behavior is actually asset-move reactive","Reference source timestamps are aligned closely enough to wallet trade timestamps"
6,Liquidity / slippage estimation,high,high,high,medium,High impact on Copyability Ranking and Confidence but less useful before expiry/outcome and full lifecycle context,64,"Previous sprint named slippage and liquidity/fill uncertainty as blockers; Wallet Score intentionally excludes execution quality","Whether visible behavior could be observed and plausibly filled by another participant","Order book snapshots or reconstructable books are available at trade timestamps"
7,Mark-to-market valuation,medium,medium,medium,medium,Medium impact on Metrics and Confidence; useful for open-position context but dangerous if treated as performance,58,"Previous sprint had 1735 still-open lifecycle candidates and Wallet Score excludes mark-to-market values","Current visible valuation of open positions; rough unresolved exposure context","Current or historical prices are available and comparable to trade timestamps"
8,Execution delay modelling,high,medium,high,low,Medium impact on Copyability and Ranking; cannot be trustworthy until reference alignment and liquidity are available,51,"Previous sprint named observation delay model as a blocker but no live monitoring or timestamped observer feed exists","Whether a follower could observe and react before most repricing occurred","Public observation timestamps approximate when a copier would see the trade"
9,Queue position / fill uncertainty,very_high,medium,very_high,low,Medium impact on execution realism but weak near-term reproducibility; likely cannot be solved from public wallet history alone,43,"Previous sprint identified queue position and fill uncertainty as unknown; no maker queue evidence exists in current artifacts","Whether copied orders would receive similar fills or queue priority","Public CLOB history can reconstruct enough queue state, which is unproven"
10,Other public data source: explorer / on-chain settlement metadata,high,medium,high,medium,Medium impact on provenance and settlement validation; likely useful later after market metadata joins,40,"Deep History Feasibility mentioned transaction hashes; previous sprint preserved hashes in normalized rows but did not join external sources","Settlement provenance; redemption timing; transaction-level cross-checks","On-chain data is easy to map to condition/token lifecycle without large indexing work"
