category,endpoint_name,method,base_url,path_or_query,accessibility,authentication,documented_rate_limit,observed_probe,stability,documentation_quality,wallet_intelligence_suitability,primary_join_keys,relevant_fields,known_limitations,next_sprint_use
API overview,Gamma API,GET,https://gamma-api.polymarket.com,"markets,events,tags,series,comments,sports,search,public-profile",public,no auth,"Gamma general 4000 req/10s; markets 300 req/10s; events 500 req/10s",docs verified,high,high,primary metadata source,"market_slug,event_slug,condition_id,event_id","question,title,conditionId,slug,eventSlug,startDate,endDate,closed,active,archived,outcomes,outcomePrices,volume,liquidity,openInterest,resolutionSource","metadata can change after resolution; list/query behavior differs by route","yes-primary"
API overview,Data API,GET,https://data-api.polymarket.com,"positions,closed-positions,activity,value,oi,holders,trades,traded,leaderboard/builders",public,no auth,"Data general 1000 req/10s; trades 200 req/10s; positions/closed-positions 150 req/10s",docs verified,high,high,primary wallet history source,"wallet_id,condition_id,token_id,event_id","wallet profile aggregates,positions,trades,activity,holders,open interest,value,traded counts","bounded public history can omit earlier buys/later exits; no private intent or queue position","yes-existing-input"
API overview,CLOB API read endpoints,GET/POST,https://clob.polymarket.com,"book,books,price,prices,midpoint,midpoints,spread,spreads,last-trade-price,prices-history,batch-prices-history,clob-markets,markets,sampling-markets,simplified-markets",public for read endpoints,no auth for read endpoints,"CLOB general 9000 req/10s; book/price/midpoint 1500 req/10s; prices-history 1000 req/10s",docs and bounded probes verified,medium-high,high,token mapping and liquidity/price source,"condition_id,token_id","orderbook,bids,asks,midpoint,spread,last_trade_price,price_history,tokens,tick_size,min_order_size,accepting_orders","orderbook/price routes can 404 for expired or non-orderbook tokens; authenticated ledger endpoints excluded","yes-cross-check"
Gamma metadata,List markets,GET,https://gamma-api.polymarket.com,/markets,public,no auth,300 req/10s,docs verified,high,high,market discovery and historical metadata,"condition_id,market_slug,token_id","id,question,conditionId,slug,resolutionSource,endDate,startDate,liquidity,volume,active,closed,archived,outcomes,outcomePrices,clobTokenIds","query by slug returned empty for one historical fast market while path endpoint worked","no-use-path-first"
Gamma metadata,Get market by slug,GET,https://gamma-api.polymarket.com,/markets/slug/{slug},public,no auth,300 req/10s,"200 for btc-updown-5m-1774353300",high,high,best direct market metadata lookup by wallet market slug,"market_slug,condition_id","conditionId,slug,resolutionSource,endDate,startDate,closed,active,outcomes,outcomePrices,clobTokenIds,volume,liquidity","requires market slug; historical record availability should be measured","yes-primary"
Gamma metadata,List events,GET,https://gamma-api.polymarket.com,/events?active=true&closed=false&limit=100,public,no auth,500 req/10s,docs verified,high,high,event discovery and grouped market metadata,"event_slug,event_id,condition_id","event id,ticker,slug,title,description,startDate,endDate,active,closed,archived,liquidity,volume,openInterest,markets","broad listing should remain bounded; event may contain multiple markets","no-broad-listing"
Gamma metadata,Get event by slug,GET,https://gamma-api.polymarket.com,/events/slug/{slug},public,no auth,500 req/10s,"200 for btc-updown-5m-1774353300",high,high,best direct event metadata lookup by wallet event slug,"event_slug,event_id,condition_id","event title,description,resolutionSource,startDate,endDate,active,closed,archived,markets,liquidity,volume,openInterest","event-level dates may differ from individual market expiry; must compare to market rows","yes-primary"
Gamma metadata,Events query by slug,GET,https://gamma-api.polymarket.com,/events?slug={slug},public,no auth,500 req/10s,"200 array for btc-updown-5m-1774353300",high,high,secondary event lookup,"event_slug,event_id","same as event by slug","array shape differs from path endpoint","yes-fallback"
Gamma metadata,Get market by token,GET,https://gamma-api.polymarket.com,/markets/token/{token_id},public,no auth,300 req/10s,docs verified,medium-high,medium-high,token-to-market backfill when slug is missing,"token_id,condition_id","market metadata by token","not probed in this sprint; endpoint shape must be confirmed in implementation","yes-fallback"
Gamma metadata,Top holders for markets,GET,https://data-api.polymarket.com,/holders?market={condition_id},public,no auth,Data general 1000 req/10s,"400 without required market param",medium-high,medium,participant concentration context,"condition_id,token_id,wallet_id","holder wallet,asset,size,value,outcome","requires market/token parameter; participant snapshots are not full trade history","later"
