priority,source_repository,idea,reuse_mode,safety_boundary,forgeview_target
1,polybot,"Wallet/profile ingestion plus frozen snapshot reports for target wallet behavior.",design_only,"Read public profile and position data only; no execution services, no ClickHouse requirement in v1.","Wallet Intelligence Data Ingestion v1"
2,polybot,"Replication score comparing candidate strategy decisions against observed target-wallet trade distributions.",design_only,"Research metric only; do not copy trades or optimize live execution.","Wallet Intelligence Behavior Metrics v1"
3,prediction-market-backtesting,"Separation between venue-specific loaders, pure strategy logic, and runner orchestration.",design_pattern,"Do not import mixed-license code directly without license review.","Repricing Simulator Refactor Backlog"
4,prediction-market-backtesting,"Execution realism: L2 book replay, queue-position proxy, latency, fees, slippage, maker rebates as explicit assumptions.",design_only,"Use as audit checklist, not as production trading engine.","Repricing Execution Realism Audit v1"
5,pmxt,"Normalized Polymarket Gamma/CLOB/Data API and WebSocket orderbook/trade examples.",reference_only,"No hosted writes, no private keys, no global installs.","Read-only API Adapter Review"
6,Polymarket-bot,"Smart-money/follow-wallet service concepts and dry-run dashboard controls.",design_only,"No private key, no TradingService, no order examples.","Wallet Intelligence Ingestion and Reporting"
7,polymarket_lp_tool,"Anti-sniping and passive-order risk concepts: midpoint jump pause, stable-mid confirmation, EMA/median filtering, fill cooldown, max chase.",design_only,"Keep market-making out of active scope; use only for execution-risk vocabulary.","Repricing Execution Realism Audit v1"
8,Prediction-Markets-Trading-Bot-Toolkits,"Depth guard, circuit breaker, dry-run-first posture, and adapter boundary concepts.",design_only,"Avoid execution core, key handling, and copy-trading code.","Future Execution Boundary Notes"
9,CloddsBot,"Dry-run signal router tests and broad operational skill catalog.",reference_only,"Do not install globally; avoid postinstall and autonomous agent execution.","Research Backlog"
10,Awesome-Prediction-Market-Tools,"Directory of analytics, alerting, smart-money and prediction-market data vendors.",source_discovery,"Treat third-party services as leads requiring separate audit.","Future OSS Intelligence Backlog"
