rank,opportunity,branch,measured_support,expected_edge,robustness,implementation_effort,execution_sensitivity,time_to_validation,path_to_revenue,portfolio_action
1,Wallet specialist directional skill with chronological validation,Wallet Intelligence,"4 of 28 wallets above baseline; 258 resolved positions across the four; observed match rates 0.7143-0.8333",high,medium,low,low,days,"paper shadow then bounded execution review",CONTINUE
2,Multi-wallet consensus among independently skilled wallets,Wallet Intelligence,"Existing resolved wallet-position joins and four above-baseline wallets; consensus not yet tested",medium_high,medium,low,low,days,"consensus paper signals",TEST_SECONDARY
3,Wallet specialist skill conditioned on asset and side,Wallet Intelligence,"One cross-asset wallet and three single-asset specialists; 1788 resolved positions overall",medium_high,medium,low,low,days,"specialist paper signals",TEST_SECONDARY
4,Wallet timing relative to expiry with slower actionable windows,Wallet Intelligence,"99.95% outcome join success; expiry metadata available; prospective timing sample only 2",medium,low_medium,medium,medium,days_to_weeks,"prospective public shadow",TEST_AFTER_SKILL
5,Wallet-signal plus liquidity/spread feasibility filter,Combined,"Wallet candidates exist and microstructure datasets have 100% coverage for 19 features; no direct joined test",medium,medium,medium,medium,one_to_two_weeks,"cost-aware wallet shadow",TEST_AFTER_SKILL
6,Repricing frozen detector with sub-second executable entry,Repricing,"338 signals; +0.032405 recorded expectancy; random baseline p=0.000999; 2s plus cost expectancy -0.009810",high_if_fast,medium,high,very_high,weeks,"requires authenticated execution proof",PRESERVE_DEFERRED
7,Post-external-move continuation/reversion at 30-180 seconds,Repricing derivative,"Existing repricing and public event datasets support labeling; standalone hypothesis not preregistered",medium,low_medium,medium,medium,days,"slower public paper strategy",BACKLOG
8,Cross-asset lead-lag dislocation at minute scale,Microstructure derivative,"Cross-asset features captured; combined microstructure model found no stable incremental feature",low_medium,low,medium,medium,days,"public paper signals",BACKLOG
9,Spread compression/book-imbalance regime selection,Microstructure,"426 balanced rows with full coverage; YES price remained best and book imbalance was unstable",low,low,low,medium,days,"filter only, not standalone",FREEZE_STANDALONE
10,Final-outcome prediction beyond YES price,Outcome Prediction,"153 validation rows; no model or feature group beat YES price on log loss and Brier",low,low,medium,low,weeks,"none until new independent premise",FREEZE
